Nº;Etapa;Mês/Ano;Fase;Período;Data;Ponto;Método;Período de Coleta;Espécie;Nº ind;Ordem;Família;Sub-família;Tribo;Coletor;Observação
1;1;nov/14;Instalação;Chuva;;;;;Aedes albopictus;11;Diptera;Culicidae;Culicinae;Aedini;;
2;1;nov/14;Instalação;Chuva;;;;;Aedes fluviatilis ;9;Diptera;Culicidae;Culicinae;Aedini;;
3;1;nov/14;Instalação;Chuva;;;;;Aedes fulvithorax;2;Diptera;Culicidae;Culicinae;Aedini;;
4;1;nov/14;Instalação;Chuva;;;;;Aedes scapularis;4;Diptera;Culicidae;Culicinae;Aedini;;
5;1;nov/14;Instalação;Chuva;;;;;Aedes serratus;1;Diptera;Culicidae;Culicinae;Aedini;;
6;1;nov/14;Instalação;Chuva;;;;;Anopheles (Anopheles) ssp.;1;Diptera;Culicidae;Anophelinae;Anophelini;;
7;1;nov/14;Instalação;Chuva;;;;;Culex spp.;181;Diptera;Culicidae;Culicinae;Culicini;;
8;1;nov/14;Instalação;Chuva;;;;;Culicoides spp.;30;Diptera;Ceratopogonidae;;;;
9;1;nov/14;Instalação;Chuva;;;;;Haemagogus (Con.) leucocelaenus;7;Diptera;Culicidae;Culicinae;Aedini;;
10;1;nov/14;Instalação;Chuva;;;;;Haemagogus (Hag.) capricornii;15;Diptera;Culicidae;Culicinae;Aedini;;
11;1;nov/14;Instalação;Chuva;;;;;Phlebotominae sp.;9;Diptera;Psychodidae;Phlebotominae;;;
12;1;nov/14;Instalação;Chuva;;;;;Sabethes spp.;4;Diptera;Culicidae;Culicinae;Sabethini;;
13;1;nov/14;Instalação;Chuva;;;;;Simulium spp.;4;Diptera;Simuliidae;Simuliinae;;;
14;2;fev/15;Instalação;Chuva;;;;;Aedes albopictus;19;Diptera;Culicidae;Culicinae;Aedini;;
15;2;fev/15;Instalação;Chuva;;;;;Aedes scapularis;15;Diptera;Culicidae;Culicinae;Aedini;;
16;2;fev/15;Instalação;Chuva;;;;;Culex spp.;124;Diptera;Culicidae;Culicinae;Culicini;;
17;2;fev/15;Instalação;Chuva;;;;;Haemagogus (Con.) leucocelaenus;5;Diptera;Culicidae;Culicinae;Aedini;;
18;2;fev/15;Instalação;Chuva;;;;;Haemagogus (Hag.) capricornii;3;Diptera;Culicidae;Culicinae;Aedini;;
19;2;fev/15;Instalação;Chuva;;;;;Haemagogus (Hag.) spp.;3;Diptera;Culicidae;Culicinae;Aedini;;
20;2;fev/15;Instalação;Chuva;;;;;Phlebotominae sp.;9;Diptera;Psychodidae;Phlebotominae;;;
21;2;fev/15;Instalação;Chuva;;;;;Sabethes spp.;6;Diptera;Culicidae;Culicinae;Sabethini;;
22;2;fev/15;Instalação;Chuva;;;;;Simulium spp.;8;Diptera;Simuliidae;Simuliinae;;;
23;3;mai/15;Instalação;Seca;;;;;Aedes scapularis;4;Diptera;Culicidae;Culicinae;Aedini;;
24;3;mai/15;Instalação;Seca;;;;;Anopheles (Nys.) spp.;2;Diptera;Culicidae;Anophelinae;Anophelini;;
25;3;mai/15;Instalação;Seca;;;;;Culex spp.;128;Diptera;Culicidae;Culicinae;Culicini;;
26;3;mai/15;Instalação;Seca;;;;;Simulium spp.;4;Diptera;Simuliidae;Simuliinae;;;
27;4;ago/15;Instalação;Seca;;;;;Anopheles (Nys.) oswaldoi;1;Diptera;Culicidae;Anophelinae;Anophelini;;
28;4;ago/15;Instalação;Seca;;;;;Culex spp.;190;Diptera;Culicidae;Culicinae;Culicini;;
29;4;ago/15;Instalação;Seca;;;;;Simulium spp.;25;Diptera;Simuliidae;Simuliinae;;;
30;5;nov/15;Instalação;Chuva;;;;;Aedes albopictus;167;Diptera;Culicidae;Culicinae;Aedini;;
31;5;nov/15;Instalação;Chuva;;;;;Aedes fulvithorax;2;Diptera;Culicidae;Culicinae;Aedini;;
32;5;nov/15;Instalação;Chuva;;;;;Culex spp.;767;Diptera;Culicidae;Culicinae;Culicini;;
33;5;nov/15;Instalação;Chuva;;;;;Haemagogus (Con.) leucocelaenus;18;Diptera;Culicidae;Culicinae;Aedini;;
34;5;nov/15;Instalação;Chuva;;;;;Haemagogus (Con.) leucophoebus;7;Diptera;Culicidae;Culicinae;Aedini;;
35;5;nov/15;Instalação;Chuva;;;;;Haemagogus (Con.) spp.;3;Diptera;Culicidae;Culicinae;Aedini;;
36;5;nov/15;Instalação;Chuva;;;;;Limatus spp.;3;Diptera;Culicidae;Culicinae;Aedini;;
37;5;nov/15;Instalação;Chuva;;;;;Psorophora (Jan.) ciliata;1;Diptera;Culicidae;Culicinae;Aedini;;
38;5;nov/15;Instalação;Chuva;;;;;Sabethes spp.;6;Diptera;Culicidae;Culicinae;Sabethini;;
39;5;nov/15;Instalação;Chuva;;;;;Simulium spp.;1;Diptera;Simuliidae;Simuliinae;;;
40;6;mar/16;Operação;Chuva;;;;;Culex spp.;1588;Diptera;Culicidae;Culicinae;Culicini;;
41;6;mar/16;Operação;Chuva;;;;;Culicoides spp.;77;Diptera;Ceratopogonidae;;;;
42;6;mar/16;Operação;Chuva;;;;;Aedes albopictus;11;Diptera;Culicidae;Culicinae;Aedini;;
